매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,시간대_디코딩,분기_디코딩
125163.1502,2020,골목상권,2110949,한남IC,618,300,1683,79731,0,0,0,0,62126,0,0,0,59187.6,50294.0,112,2858.1675,0.0,0.965779222869652,0.3219264076232173,2.7233009708737863,1,1
94688.22344,2020,골목상권,2110951,신사은행나무공원,1039,580,273,129649,0,0,0,1,29000,0,0,0,88341.2,70153.0,161,2858.363819791666,0.0,1.0344827586206895,0.6896551724137931,0.2627526467757459,1,1
177736.4615,2020,골목상권,2110952,논현목련공원,879,583,117,70687,0,0,0,0,21629,0,0,0,33995.8,32963.0,257,2859.0827213832463,0.0,1.387026677146424,0.9246844514309492,0.1331058020477815,1,1
34587.75458,2020,골목상권,2110954,국기원,497,335,636,51576,0,0,0,2,39798,0,0,0,78936.8,72891.0,34,2859.3310891838228,0.0,0.7538067239559777,0.7538067239559777,1.2796780684104627,1,1
221061.4832,2020,골목상권,2110955,논현초등학교,7080,4369,3430,749107,0,0,0,2,190912,0,0,0,412995.0,387342.5,1958,2860.209560470983,0.0,1.5714046262152197,0.5238015420717398,0.4844632768361582,1,1
156661.2839,2020,골목상권,2110957,언북중학교,1816,1116,1251,186377,0,0,0,3,94815,0,0,0,155200.2,100676.0,532,2859.3104811211792,0.0,0.6328112640404999,0.8437483520539999,0.6888766519823789,1,1
114302.1758,2020,골목상권,2110958,역삼역 4번,858,528,994,71759,0,0,0,2,73119,0,0,0,78058.2,43665.5,290,2859.96227715498,0.0,0.4102900750830838,1.2308702252492512,1.1585081585081585,1,1
36192.9011,2020,골목상권,2110959,신구중학교,365,166,271,20245,0,0,0,0,35959,0,0,0,18472.0,14550.0,82,2860.4918447704613,0.0,0.8342834895297423,2.2247559720793126,0.7424657534246575,1,1
83584.97436,2020,골목상권,2110960,은광여고,719,417,1522,30420,0,0,0,1,25543,0,0,0,17848.4,15351.0,239,2861.3587163724483,0.0,1.1744900755588614,1.5659867674118155,2.1168289290681503,1,1
119836.2601,2020,골목상권,2110961,언주역 3번,2169,1298,962,153989,1,0,0,1,63031,0,0,0,120047.0,91289.0,612,2861.7155325042704,0.0,0.9519125509669843,0.4759562754834922,0.4435223605348086,1,1
38957.30037,2020,골목상권,2110963,역삼월드메르디앙아파트,1724,847,780,125142,0,0,0,1,40391,0,0,0,62384.6,56115.0,543,2861.6045806428137,0.0,0.7427397192443861,0.2475799064147953,0.4524361948955916,1,1
117776.2543,2020,골목상권,2110965,언주역 6번,2309,1512,1139,168558,0,0,0,2,65107,0,0,0,122421.4,96468.0,694,2861.369832551415,0.0,1.0751532093323295,0.3071866312378085,0.4932871372888696,1,1
73069.81868,2020,골목상권,2110966,논현2동주민센터,2887,1539,1637,365530,0,0,0,2,93544,0,0,0,341298.6,237948.5,843,2861.336653314978,0.0,0.641409390233473,0.9621140853502096,0.5670245930031175,1,1
282864.2442,2020,골목상권,2110967,역삼역 8번,1307,877,377,135009,0,0,0,3,68671,0,0,0,100603.2,73712.5,379,2861.4842935871925,0.0,1.310596904078869,1.019353147616898,0.2884468247895945,1,1
380182.884,2020,골목상권,2110971,선정릉역 4번,3836,2425,1542,207050,1,1,0,4,133221,0,0,0,127388.6,101139.0,1637,2861.6674120428534,0.0,0.675569167023217,0.5254426854625022,0.4019812304483837,1,1
12249.52747,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1995,1013,2628,67624,0,0,0,0,46603,0,0,0,33195.6,30721.0,630,2861.004773464538,0.0,0.6437353818423708,0.429156921228247,1.3172932330827067,1,1
123777.8022,2020,골목상권,2110974,언주중학교,1479,770,292,186263,0,0,0,0,35150,0,0,0,106913.6,95530.0,535,2860.7414421201483,0.0,1.7069701280227596,0.5689900426742532,0.1974306964164976,1,1
84833.38828,2020,골목상권,2110975,매봉역 1번,944,361,10837,56700,0,0,0,0,52363,9097,10593,1,41178.2,39197.5,250,2860.478417721032,0.5729236292802169,1.1458472585604338,2.100719974027462,11.479872881355933,1,1
45202.32967,2020,골목상권,2110976,언북초등학교,2011,1046,578,166711,0,0,0,0,55724,0,0,0,112431.6,100433.0,476,2860.834033728416,0.0,1.076735338453808,0.3589117794846027,0.2874191944306315,1,1
45050.42002,2020,골목상권,2110977,논현로18길,707,335,148,32101,0,0,0,0,17287,0,0,0,19525.2,16803.5,108,2860.839797909136,0.0,5.206224330421704,0.0,0.2093352192362093,1,1
60238.17216,2020,골목상권,2110980,개포지구대옆,2707,1114,663,164104,0,0,0,0,85827,0,0,0,94194.0,83731.0,679,2861.235564491598,0.0,0.3495403544339194,0.2330269029559462,0.2449205762837089,1,1
111115.7399,2020,골목상권,2110981,국악고교사거리,2105,876,361,147995,0,0,0,0,67409,495,0,0,75600.8,73144.5,543,2861.4802459768034,0.5933925736919403,1.3351332908068656,1.0384370039608954,0.1714964370546318,1,1
